case,category,M_solar,a_m,e,P_year,T0_year,f_true_deg,z,f_emit_Hz,f_obs_Hz,lambda_emit_nm,lambda_obs_nm,v_los_mps,v_tot_mps,z_geom_hint,N0,source,r_emit_m,n_round,z_obs,z_source,r_eff_m,r_note,v_tot_original,v_tot_corrected,v_correction_method,v_los_mps_eff,z_gr,z_sr,z_grsr,z_seg,dz_seg,dz_gr,dz_sr,dz_grsr,strong,rs_m,deltaM_percent,log10M_norm,sanity_flags
S1_SgrA*,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2001.8,0.0,0.000234123456789,456805024067434.56,456698100329476.5,656.281,656.4346507763449,740406.6377690635,2411559.5955599174,0.0001456,1.0000000028,S1 orbital parameters from GRAVITY collaboration,38071497974.22413,2.0,0.00023412345678885949,freq,38071497974.22413,r_emit_m,2411559.5955599174,2411559.5955599174,original,740406.6377690635,0.22474487139158894,0.002502165929046951,0.2278093862805599,0.0026481302444061328,-0.0024140067876172733,-0.22451074793480008,-0.0022680424722580916,-0.22757526282377105,True,12690499324.741377,,,
S8_SgrA*,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2020.12,0.0,0.0001987654321098,456805024067434.56,456714245063163.9,656.281,656.4114459765505,576544.0149960216,1650244.425212328,0.0001234,1.0000000028,S8 orbital parameters from VLT observations,38071497974.22413,2.0,0.00019876543210983755,freq,38071497974.22413,r_emit_m,1650244.425212328,1650244.425212328,original,576544.0149960216,0.22474487139158894,0.0019383237450394386,0.22711882345742263,0.0020619629341895873,-0.0018631975020797498,-0.2245461059594791,-0.001739558312929601,-0.2269200580253128,True,12690499324.741377,,,
S12_SgrA*,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2002.33,0.0,0.0003456789012345,456805024067434.56,456647170775189.1,656.281,656.507862494981,687429.5250689999,1279252.2799805307,0.0002145,1.0000000028,S12 orbital parameters from Keck observations,38071497974.22413,2.0,0.0003456789012346029,freq,38071497974.22413,r_emit_m,1279252.2799805307,1279252.2799805307,original,687429.5250689999,0.22474487139158894,0.0023021432594947377,0.22756440954186385,0.0025171370692238515,-0.0021714581679892486,-0.22439919249035434,-0.001956464358260135,-0.22721873064062925,True,12690499324.741377,,,
S13_SgrA*,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2004.86,0.0,9.87654321098e-05,456805024067434.56,456759911977357.7,656.281,656.3458178765504,707395.8607588904,807835.9621717719,6.13e-05,1.0000000028,S13 orbital parameters from combined data,38071497974.22413,2.0,9.876543210984856e-05,freq,38071497974.22413,r_emit_m,807835.9621717719,807835.9621717719,original,707395.8607588904,0.22474487139158894,0.0023632577602370475,0.2276392592132157,0.0024247026279378137,-0.002325937195827965,-0.2246461059594791,-0.002264492328127199,-0.22754049378110586,True,12690499324.741377,,,
S14_SgrA*,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2016.05,0.0,0.0004567890123456,456805024067434.56,456596455823338.5,656.281,656.5807819498111,1317846.1828622392,1547495.8821069591,0.0002834,1.0000000028,S14 highly eccentric orbit,38071497974.22413,2.0,0.000456789012345693,freq,38071497974.22413,r_emit_m,1547495.8821069591,1547495.8821069591,original,1317846.1828622392,0.22474487139158894,0.004409243084976033,0.23014506924663225,0.004693892664466404,-0.004237103652120711,-0.22428808237924325,-0.00395245407263034,-0.22968828023428656,True,12690499324.741377,,,
S17_SgrA*,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2008.67,0.0,5.67890123456e-05,456805024067434.56,456779084034392.2,656.281,656.318269549811,644386.2147067375,1114238.1961445846,3.52e-05,1.0000000028,S17 low eccentricity orbit,38071497974.22413,2.0,5.678901234551503e-05,freq,38071497974.22413,r_emit_m,1114238.1961445846,1114238.1961445846,original,644386.2147067375,0.22474487139158894,0.002156362888490193,0.22738586578012643,0.002191638792463868,-0.002134849780118353,-0.22468808237924343,-0.002099573876144678,-0.2273290767677809,True,12690499324.741377,,,
S19_SgrA*,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2012.45,0.0,0.0002345678901234,456805024067434.56,456697897405216.5,656.281,656.4349424494981,234686.65017825275,1374091.8763108307,0.0001456,1.0000000028,S19 intermediate orbit,38071497974.22413,2.0,0.00023456789012321622,freq,38071497974.22413,r_emit_m,1374091.8763108307,1374091.8763108307,original,234686.65017825275,0.22474487139158894,0.0007933429211295362,0.2257165140654971,0.0009390584318589301,-0.0007044905417357139,-0.22451030350146572,-0.00055877503100632,-0.22548194617537387,True,12690499324.741377,,,
S21_SgrA*,S-stars,4297000.0,123400000000000.0,0.8765,28.9,2018.91,0.0,0.0003789012345678,456805024067434.56,456632005636755.6,656.281,656.5296656811233,175065.92016082324,1285530.666684324,0.0002349,1.0000000028,S21 shorter period orbit,38071497974.22413,2.0,0.0003789012345678522,freq,38071497974.22413,r_emit_m,1285530.666684324,1285530.666684324,original,175065.92016082324,0.22474487139158894,0.0005931563149594865,0.22547133654626905,0.0008281956473779051,-0.0004492944128100529,-0.2243659701570211,-0.00021425508039163432,-0.2250924353117012,True,12690499324.741377,,,
S23_SgrA*,S-stars,4297000.0,567800000000000.0,0.3456,134.7,2001.23,0.0,4.56789012345e-05,456805024067434.56,456784158668965.25,656.281,656.3109781949811,272911.5148316311,664112.2751324235,2.83e-05,1.0000000028,S23 long period orbit,38071497974.22413,2.0,4.567890123441387e-05,freq,38071497974.22413,r_emit_m,664112.2751324235,664112.2751324235,original,272911.5148316311,0.22474487139158894,0.0009127907121704304,0.22586280713497353,0.0009411165441477465,-0.0008954376429133326,-0.22469919249035453,-0.0008671118109360165,-0.22581712823373912,True,12690499324.741377,,,
S24_SgrA*,S-stars,4297000.0,345600000000000.0,0.6789,67.3,2009.78,0.0,0.0001234567890123,456805024067434.56,456748635347528.8,656.281,656.3620223449497,623034.139155285,816569.1990415838,7.66e-05,1.0000000028,S24 moderate eccentricity,38071497974.22413,2.0,0.0001234567890122662,freq,38071497974.22413,r_emit_m,816569.1990415838,816569.1990415838,original,623034.139155285,0.22474487139158894,0.002081935412135749,0.22729471111017063,0.0021586948883884904,-0.0020352380993762242,-0.22462141460257667,-0.001958478623123483,-0.22717125432115837,True,12690499324.741377,,,
